wdpa_id,date,treecover_ha
30618,2005-01-01,763341.399567355
67670,2005-01-01,186585.434141015
102817,2005-01-01,143680.791918868
102910,2005-01-01,64455.6147155421
107569,2005-01-01,158600.306213455
115079,2005-01-01,45405.4954279846
116297,2005-01-01,101355.282119052
220034,2005-01-01,348225.70106034
301932,2005-01-01,67982.3104003206
302086,2005-01-01,30789.8975034991
306780,2005-01-01,684425.474559606
342347,2005-01-01,441447.734780239
902858,2005-01-01,761403.929514977
197,2006-01-01,180729.506187171
227,2006-01-01,598726.857515216
3305,2006-01-01,217349.773802107
3306,2006-01-01,198477.424738895
3307,2006-01-01,166782.944059303
3311,2006-01-01,101021.818928254
3314,2006-01-01,210756.274749146
12226,2006-01-01,148605.032011898
12229,2006-01-01,156780.413963745
12241,2006-01-01,168013.272882158
12570,2006-01-01,32342.6428915301
12572,2006-01-01,41972.0429514097
20224,2006-01-01,272823.918989683
20230,2006-01-01,395944.884959407
28850,2006-01-01,94442.5063618661
30604,2006-01-01,391345.816270924
30605,2006-01-01,369260.200782488
30606,2006-01-01,135779.035662211
30614,2006-01-01,257296.070501367
30618,2006-01-01,749250.97298685
67670,2006-01-01,186239.362045557
102817,2006-01-01,143678.664109995
102910,2006-01-01,63435.9829208436
107569,2006-01-01,157679.705860064
115079,2006-01-01,44702.4464825607
116297,2006-01-01,100436.809477501
220034,2006-01-01,348045.967711425
301932,2006-01-01,67568.1141576074
302086,2006-01-01,30295.5065527887
306780,2006-01-01,683347.888654253
342347,2006-01-01,440437.436471204
902858,2006-01-01,752349.732878934
197,2007-01-01,179240.677405226
227,2007-01-01,593069.040717478
3305,2007-01-01,213670.636396839
3306,2007-01-01,196344.554238519
3307,2007-01-01,166059.418681353
3311,2007-01-01,100714.05776495
3314,2007-01-01,209854.618859724
12226,2007-01-01,148050.329527335
12229,2007-01-01,156338.635953072
12241,2007-01-01,167734.244157704
12570,2007-01-01,30372.1928731052
12572,2007-01-01,38731.1999210292
20224,2007-01-01,271721.053191181
20230,2007-01-01,389424.859313611
28850,2007-01-01,93767.9916665967
30604,2007-01-01,391120.302095409
30605,2007-01-01,356390.619662032
30606,2007-01-01,132980.665729734
30614,2007-01-01,250185.478076276
30618,2007-01-01,717808.705015161
67670,2007-01-01,184198.658914232
102817,2007-01-01,143677.710528986
102910,2007-01-01,60489.2916194858
107569,2007-01-01,155729.342846668
115079,2007-01-01,42732.4705797756
116297,2007-01-01,96332.8129687851
220034,2007-01-01,347757.207139159
301932,2007-01-01,65856.3531607652
302086,2007-01-01,29086.4749122473
306780,2007-01-01,681280.254630386
342347,2007-01-01,438389.07229787
902858,2007-01-01,733482.29904763
197,2008-01-01,178221.288769018
227,2008-01-01,588247.633734463
3305,2008-01-01,213255.821781806
3306,2008-01-01,196173.368787811
3307,2008-01-01,165503.415787924
3311,2008-01-01,100364.584502961
3314,2008-01-01,208886.688418315
12226,2008-01-01,147593.498833417
12229,2008-01-01,156035.479509685
12241,2008-01-01,167409.566200759
12570,2008-01-01,29092.8800499901
12572,2008-01-01,36986.9119727241
20224,2008-01-01,269714.763006458
20230,2008-01-01,388093.780604934
28850,2008-01-01,93241.2860230619
30604,2008-01-01,390950.436287134
30605,2008-01-01,350429.497888377
30606,2008-01-01,131060.089633718
30614,2008-01-01,246919.453863581
30618,2008-01-01,697394.743093644
67670,2008-01-01,183301.057452288
102817,2008-01-01,143676.683235076
102910,2008-01-01,58713.4135772102
107569,2008-01-01,153689.014968089
115079,2008-01-01,41240.7274597006
116297,2008-01-01,95501.4832063117
220034,2008-01-01,347016.483854082
301932,2008-01-01,65556.2853845159
302086,2008-01-01,28168.0263699491
306780,2008-01-01,679966.231028818
342347,2008-01-01,436041.857409113
902858,2008-01-01,724875.908530871
197,2009-01-01,177327.342802277
227,2009-01-01,582187.999270384
3305,2009-01-01,212193.397750585
3306,2009-01-01,195859.451737644
3307,2009-01-01,164969.41293973
3311,2009-01-01,100161.004723786
3314,2009-01-01,207864.104207074
12226,2009-01-01,147172.491383677
12229,2009-01-01,155789.675155665
12241,2009-01-01,167241.498363461
12570,2009-01-01,27864.1815396817
12572,2009-01-01,35152.155237465
20224,2009-01-01,267864.704795413
20230,2009-01-01,386405.134690774
28850,2009-01-01,92761.4248988041
30604,2009-01-01,390737.170344729
30605,2009-01-01,342980.266124694
30606,2009-01-01,128627.06737922
30614,2009-01-01,242973.668824093
30618,2009-01-01,674498.989714276
67670,2009-01-01,182013.383570783
102817,2009-01-01,143675.803123815
