wdpa_id,date,population
20230,2012-01-01,19583.4125751257
28850,2012-01-01,5286.65374052525
30604,2012-01-01,7579.93942119554
30605,2012-01-01,80471.496311732
30606,2012-01-01,6962.23296123743
30614,2012-01-01,76826.6586077809
30618,2012-01-01,314506.463795118
67670,2012-01-01,12879.445012503
102817,2012-01-01,2326.93076958135
102910,2012-01-01,38227.4407277107
107569,2012-01-01,69186.5212185085
115079,2012-01-01,34386.3642270565
116297,2012-01-01,24537.7054619789
220034,2012-01-01,23237.8977078813
301932,2012-01-01,18046.0546166897
302086,2012-01-01,20048.1253633499
306780,2012-01-01,12808.7362121308
342347,2012-01-01,6772.13015278074
902858,2012-01-01,145868.694284052
197,2013-01-01,13059.1551327705
227,2013-01-01,95087.1995887555
3305,2013-01-01,29738.868241191
3306,2013-01-01,7552.81527012587
3307,2013-01-01,23686.3689937592
3311,2013-01-01,7470.13187673874
3314,2013-01-01,21327.5312927961
12226,2013-01-01,27921.7391594201
12229,2013-01-01,14606.3542678356
12241,2013-01-01,4966.40133070946
12570,2013-01-01,17330.6797895432
12572,2013-01-01,22990.2373104692
20224,2013-01-01,18606.0578473024
20230,2013-01-01,19669.4269274473
28850,2013-01-01,5396.94451320171
30604,2013-01-01,8004.85046907142
30605,2013-01-01,83167.9219513873
30606,2013-01-01,7020.83772546053
30614,2013-01-01,79644.5339171887
30618,2013-01-01,325628.078721893
67670,2013-01-01,13115.4729491969
102817,2013-01-01,2589.91773939505
102910,2013-01-01,38643.3962526321
107569,2013-01-01,70386.828758657
115079,2013-01-01,34480.1460161209
116297,2013-01-01,25311.9366352558
220034,2013-01-01,24552.7169326156
301932,2013-01-01,18819.3217804432
302086,2013-01-01,19640.6232733727
306780,2013-01-01,13044.2329651204
342347,2013-01-01,6906.40038140828
902858,2013-01-01,150295.659872621
197,2014-01-01,14315.6016961932
227,2014-01-01,99299.9675406199
3305,2014-01-01,31818.5972120762
3306,2014-01-01,8566.01758539677
3307,2014-01-01,24305.3363800049
3311,2014-01-01,7344.52456084453
3314,2014-01-01,22843.6984727383
12226,2014-01-01,28169.7631545067
12229,2014-01-01,15054.0749896765
12241,2014-01-01,5264.43448787928
12570,2014-01-01,18368.694175005
12572,2014-01-01,24241.1652421951
20224,2014-01-01,19722.8756824136
20230,2014-01-01,22036.3458545208
28850,2014-01-01,5665.11496293545
30604,2014-01-01,8326.77122105286
30605,2014-01-01,84660.4746633096
30606,2014-01-01,7306.24515134096
30614,2014-01-01,82531.2082619071
30618,2014-01-01,337965.21573448
67670,2014-01-01,13574.8968248505
102817,2014-01-01,2707.22351687774
102910,2014-01-01,40646.4776825905
107569,2014-01-01,70958.7224384546
115079,2014-01-01,35852.1708920002
116297,2014-01-01,25343.8665919304
220034,2014-01-01,26395.0403932604
301932,2014-01-01,19208.7695856094
302086,2014-01-01,20489.1423959732
306780,2014-01-01,13497.7057260766
342347,2014-01-01,6912.82488639589
902858,2014-01-01,154946.718280375
197,2015-01-01,15491.7283203602
227,2015-01-01,102354.429609044
3305,2015-01-01,32842.9998806715
3306,2015-01-01,9123.61808180809
3307,2015-01-01,24485.8420301676
3311,2015-01-01,7698.13339720108
3314,2015-01-01,23219.2659537792
12226,2015-01-01,29817.3920899779
12229,2015-01-01,15404.3501389027
12241,2015-01-01,5551.65519893169
12570,2015-01-01,19526.508289814
12572,2015-01-01,24940.830902338
20224,2015-01-01,20102.0669721887
20230,2015-01-01,23124.8111588955
28850,2015-01-01,5950.23226630688
30604,2015-01-01,9421.27679014206
30605,2015-01-01,85576.0567250792
30606,2015-01-01,7777.37172317505
30614,2015-01-01,84272.5806732178
30618,2015-01-01,348531.466437191
67670,2015-01-01,13935.3943777732
102817,2015-01-01,3084.48453783989
102910,2015-01-01,40882.134991169
107569,2015-01-01,71764.6311107278
115079,2015-01-01,37363.4038681984
116297,2015-01-01,24965.8558852673
220034,2015-01-01,28022.3300354595
301932,2015-01-01,18983.4445567131
302086,2015-01-01,21110.4557199478
306780,2015-01-01,14046.221653847
342347,2015-01-01,7048.45163243241
902858,2015-01-01,159996.162573993
197,2016-01-01,14260.5462090373
227,2016-01-01,106186.692941855
3305,2016-01-01,31756.4768711329
3306,2016-01-01,7734.83094835281
3307,2016-01-01,25507.1067237854
3311,2016-01-01,7677.49360610731
3314,2016-01-01,22569.9495034218
12226,2016-01-01,29723.4265401959
12229,2016-01-01,15369.3292323351
12241,2016-01-01,5141.61624568701
12570,2016-01-01,20560.9215621948
12572,2016-01-01,25681.9388370514
20224,2016-01-01,19332.6795926504
20230,2016-01-01,20417.1040454507
28850,2016-01-01,5708.45112121105
30604,2016-01-01,9322.16945150495
30605,2016-01-01,88183.6937682719
30606,2016-01-01,7410.68412870169
30614,2016-01-01,86713.028280735
30618,2016-01-01,359346.108532824
67670,2016-01-01,14319.3461529031
102817,2016-01-01,3110.899167642
102910,2016-01-01,41571.8878464699
107569,2016-01-01,72537.7535069138
115079,2016-01-01,39432.9098901749
116297,2016-01-01,25755.3464496136
220034,2016-01-01,29658.0689567952
301932,2016-01-01,19940.6255071163
302086,2016-01-01,22153.329577446
306780,2016-01-01,14300.2474997782
342347,2016-01-01,7094.28677261434
902858,2016-01-01,162866.301710248
197,2017-01-01,16691.361317575
227,2017-01-01,109815.405929546
3305,2017-01-01,34473.1755952835
3306,2017-01-01,8963.55383908749
3307,2017-01-01,25244.8343815804
3311,2017-01-01,7595.89316127822
3314,2017-01-01,23871.3454445601
12226,2017-01-01,30771.7210653573
12229,2017-01-01,15862.8343112469
12241,2017-01-01,5582.60803794861
12570,2017-01-01,21726.3841297626
12572,2017-01-01,26481.7495017052
20224,2017-01-01,19847.5972885527
20230,2017-01-01,23013.8939942122
28850,2017-01-01,6207.2492865324
30604,2017-01-01,9825.58000460267
30605,2017-01-01,91119.4164471753
30606,2017-01-01,8388.31223106384
30614,2017-01-01,89124.6782041788
30618,2017-01-01,371158.01337567
67670,2017-01-01,14568.1641380616
102817,2017-01-01,3270.3174996525
102910,2017-01-01,43772.1659059525
107569,2017-01-01,73917.6286866665
115079,2017-01-01,41120.5670416355
116297,2017-01-01,25897.4727113247
220034,2017-01-01,31510.3121469135
301932,2017-01-01,20310.4557180405
302086,2017-01-01,23627.5509996414
306780,2017-01-01,14771.6333495597
342347,2017-01-01,7227.94997745613
902858,2017-01-01,170028.677462101
197,2018-01-01,15983.7084652185
227,2018-01-01,112971.634569221
3305,2018-01-01,33920.8514151573
3306,2018-01-01,8389.85158497095
3307,2018-01-01,27330.7595945597
3311,2018-01-01,7989.51585338823
3314,2018-01-01,24021.7571790218
12226,2018-01-01,31483.1835236102
12229,2018-01-01,16570.4523112774
12241,2018-01-01,5589.41348671913
12570,2018-01-01,22602.7333812714
12572,2018-01-01,27772.5565037727
20224,2018-01-01,19921.9581770636
20230,2018-01-01,22149.208863318
28850,2018-01-01,6073.1972104311
30604,2018-01-01,10230.9213735312
30605,2018-01-01,93858.2975570486
30606,2018-01-01,8265.39701378345
30614,2018-01-01,92266.2634017468
30618,2018-01-01,386097.443937562
67670,2018-01-01,15086.2296300243
102817,2018-01-01,3492.09830243886
102910,2018-01-01,45008.6261835098
107569,2018-01-01,75009.5224803239
115079,2018-01-01,43035.2187814713
116297,2018-01-01,26699.3144190311
220034,2018-01-01,33495.4457035611
301932,2018-01-01,21217.7081785202
302086,2018-01-01,24258.5315485001
306780,2018-01-01,15140.6827000373
342347,2018-01-01,7373.6299680674
902858,2018-01-01,173805.391848624
197,2019-01-01,18486.7443478107
227,2019-01-01,117837.059933882
3305,2019-01-01,36742.53119874
3306,2019-01-01,9931.36931407452
3307,2019-01-01,26159.6154818535
3311,2019-01-01,7964.76853675023
3314,2019-01-01,25808.709764719
12226,2019-01-01,32664.9494746625
12229,2019-01-01,17068.3972187042
12241,2019-01-01,5944.75879263878
12570,2019-01-01,24025.3554215431
12572,2019-01-01,29223.188762188
20224,2019-01-01,21077.3062495291
20230,2019-01-01,25384.9660739899
28850,2019-01-01,6604.58060920238
30604,2019-01-01,11221.6553793252
30605,2019-01-01,96809.480351853
30606,2019-01-01,9100.52846300602
30614,2019-01-01,93334.747775793
30618,2019-01-01,396914.252550937
67670,2019-01-01,15426.0548509877
102817,2019-01-01,3865.25578252971
102910,2019-01-01,47353.5219826698
107569,2019-01-01,76471.206127286
115079,2019-01-01,44461.5762324333
116297,2019-01-01,27019.0953092575
220034,2019-01-01,35647.4069647186
301932,2019-01-01,21622.599984169
302086,2019-01-01,25425.0606184006
306780,2019-01-01,15742.0380042054
342347,2019-01-01,7530.40753222443
902858,2019-01-01,180335.454766095
197,2020-01-01,16976.4114544392
227,2020-01-01,120535.606377537
3305,2020-01-01,35440.4302297831
3306,2020-01-01,8703.14737731218
3307,2020-01-01,28607.6292920113
3311,2020-01-01,8313.57015525363
3314,2020-01-01,25488.3066935539
12226,2020-01-01,32993.8112363517
12229,2020-01-01,17182.7348109484
12241,2020-01-01,5741.86984014511
12570,2020-01-01,24777.2693965435
12572,2020-01-01,30173.5187263489
20224,2020-01-01,20431.8643087894
20230,2020-01-01,23062.0745056272
28850,2020-01-01,6461.82171583176
30604,2020-01-01,10573.9947346598
30605,2020-01-01,99315.7187296358
30606,2020-01-01,8712.47062629461
30614,2020-01-01,98029.4229288101
30618,2020-01-01,413669.541041955
67670,2020-01-01,15851.7305376202
102817,2020-01-01,3608.40268149972
102910,2020-01-01,48750.5559105873
107569,2020-01-01,77571.7784113288
115079,2020-01-01,46717.2809598446
116297,2020-01-01,27716.3755903244
220034,2020-01-01,37926.6418206808
301932,2020-01-01,22382.1853079796
302086,2020-01-01,26489.1743888855
306780,2020-01-01,15857.4344898176
342347,2020-01-01,7683.07019082154
902858,2020-01-01,184093.994904876
